country,year_month,monthly_count
Croatia,2020-11,75117
Croatia,2020-12,86346
Croatia,2021-01,19562
Croatia,2021-02,10544
Croatia,2021-03,24458
Croatia,2021-04,68000
Croatia,2021-05,20659
Croatia,2021-06,4065
Croatia,2021-07,3541
Croatia,2021-08,14235
Croatia,2021-09,30896
Croatia,2021-10,19315
Cyprus,2020-03,121
Cyprus,2020-04,705
Cyprus,2020-05,109
Cyprus,2020-06,63
Cyprus,2020-07,65
Cyprus,2020-08,429
Cyprus,2020-09,233
Cyprus,2020-10,3082
Cyprus,2020-11,5978
Cyprus,2020-12,13615
Cyprus,2021-01,6404
Cyprus,2021-02,3560
Cyprus,2021-03,9428
Cyprus,2021-04,21533
Cyprus,2021-05,6050
Cyprus,2021-06,6201
Cyprus,2021-07,27266
Cyprus,2021-08,11555
Cyprus,2021-09,4101
Cyprus,2021-10,1864
Czechia,2020-01,0
Czechia,2020-02,0
Czechia,2020-03,1165
Czechia,2020-04,6251
Czechia,2020-05,1567
Czechia,2020-06,2664
Czechia,2020-07,3710
Czechia,2020-08,9031
Czechia,2020-09,40222
Czechia,2020-10,277062
Czechia,2020-11,178086
Czechia,2020-12,227245
Czechia,2021-01,240871
Czechia,2021-02,252847
Czechia,2021-03,276938
Czechia,2021-04,117777
Czechia,2021-05,26645
Czechia,2021-06,6389
Czechia,2021-07,5474
Czechia,2021-08,6820
Czechia,2021-09,13367
Czechia,2021-10,15585
Denmark,2020-01,0
Denmark,2020-02,0
Denmark,2020-03,1395
Denmark,2020-04,7180
Denmark,2020-05,2785
Denmark,2020-06,1315
Denmark,2020-07,763
Denmark,2020-08,3262
Denmark,2020-09,9937
Denmark,2020-10,20662
Denmark,2020-11,32053
Denmark,2020-12,89359
Denmark,2021-01,30249
Denmark,2021-02,12732
Denmark,2021-03,17000
Denmark,2021-04,24981
Denmark,2021-05,27554
Denmark,2021-06,14427
Denmark,2021-07,22831
Denmark,2021-08,30955
Denmark,2021-09,10971
Denmark,2021-10,8992
EU/EEA (total),2020-01,3
EU/EEA (total),2020-02,503
EU/EEA (total),2020-03,169627
EU/EEA (total),2020-04,754513
EU/EEA (total),2020-05,171804
EU/EEA (total),2020-06,141220
EU/EEA (total),2020-07,140801
EU/EEA (total),2020-08,514816
EU/EEA (total),2020-09,917476
EU/EEA (total),2020-10,3933834
EU/EEA (total),2020-11,4815658
EU/EEA (total),2020-12,4390883
EU/EEA (total),2021-01,3923013
EU/EEA (total),2021-02,2751301
EU/EEA (total),2021-03,3909540
EU/EEA (total),2021-04,4472088
EU/EEA (total),2021-05,1605587
EU/EEA (total),2021-06,656386
EU/EEA (total),2021-07,1649081
EU/EEA (total),2021-08,2235537
EU/EEA (total),2021-09,1395028
EU/EEA (total),2021-10,860716
Estonia,2020-01,0
Estonia,2020-02,0
Estonia,2020-03,326
Estonia,2020-04,1317
Estonia,2020-05,180
Estonia,2020-06,164
Estonia,2020-07,47
Estonia,2020-08,339
Estonia,2020-09,827
Estonia,2020-10,1785
Estonia,2020-11,7067
Estonia,2020-12,17469
Estonia,2021-01,14687
Estonia,2021-02,22420
Estonia,2021-03,37586
Estonia,2021-04,18729
Estonia,2021-05,6601
Estonia,2021-06,1663
Estonia,2021-07,2564
Estonia,2021-08,10230
Estonia,2021-09,14894
Estonia,2021-10,14440
Europe (total),2020-01,3
Europe (total),2020-02,516
Europe (total),2020-03,188677
Europe (total),2020-04,1151446
Europe (total),2020-05,629249
Europe (total),2020-06,610078
Europe (total),2020-07,456620
Europe (total),2020-08,1125994
Europe (total),2020-09,1561835
Europe (total),2020-10,5840816
Europe (total),2020-11,7394343
Europe (total),2020-12,8357503
Europe (total),2021-01,6363417
Europe (total),2021-02,4111660
Europe (total),2021-03,5541230
Europe (total),2021-04,7413857
Europe (total),2021-05,2551329
Europe (total),2021-06,1956138
Europe (total),2021-07,3730315
Europe (total),2021-08,5411280
Europe (total),2021-09,4297492
Europe (total),2021-10,2645892
Faroe Islands,2020-03,115
Faroe Islands,2020-04,72
Faroe Islands,2020-05,0
Faroe Islands,2020-06,0
Faroe Islands,2020-07,4
Faroe Islands,2020-08,220
Faroe Islands,2020-09,49
Faroe Islands,2020-10,35
Faroe Islands,2020-11,7
Faroe Islands,2020-12,118
Faroe Islands,2021-01,34
Faroe Islands,2021-02,4
Faroe Islands,2021-03,3
