country,year_month,monthly_count
Slovenia,2020-04,931
Slovenia,2020-05,60
Slovenia,2020-06,130
Slovenia,2020-07,498
Slovenia,2020-08,822
Slovenia,2020-09,2564
Slovenia,2020-10,31458
Slovenia,2020-11,38582
Slovenia,2020-12,48893
Slovenia,2021-01,37130
Slovenia,2021-02,29591
Slovenia,2021-03,23045
Slovenia,2021-04,28692
Slovenia,2021-05,11204
Slovenia,2021-06,3425
Slovenia,2021-07,2000
Slovenia,2021-08,11921
Slovenia,2021-09,25650
Slovenia,2021-10,13096
Spain,2020-01,0
Spain,2020-02,2
Spain,2020-03,41260
Spain,2020-04,170308
Spain,2020-05,23830
Spain,2020-06,13570
Spain,2020-07,29812
Spain,2020-08,184076
Spain,2020-09,285408
Spain,2020-10,492431
Spain,2020-11,407490
Spain,2020-12,310657
Spain,2021-01,863961
Spain,2021-02,302862
Spain,2021-03,145158
Spain,2021-04,269605
Spain,2021-05,137960
Spain,2021-06,188085
Spain,2021-07,636508
Spain,2021-08,384411
Spain,2021-09,78005
Spain,2021-10,23479
Sweden,2020-01,0
Sweden,2020-02,1
Sweden,2020-03,1986
Sweden,2020-04,16881
Sweden,2020-05,15513
Sweden,2020-06,31952
Sweden,2020-07,9396
Sweden,2020-08,8509
Sweden,2020-09,7923
Sweden,2020-10,41169
Sweden,2020-11,124228
Sweden,2020-12,205102
Sweden,2021-01,112287
Sweden,2021-02,91193
Sweden,2021-03,127217
Sweden,2021-04,191909
Sweden,2021-05,85739
Sweden,2021-06,20187
Sweden,2021-07,9516
Sweden,2021-08,30818
Sweden,2021-09,22778
Sweden,2021-10,8204
Switzerland,2020-01,0
Switzerland,2020-02,0
Switzerland,2020-03,6971
Switzerland,2020-04,22007
Switzerland,2020-05,1675
Switzerland,2020-06,881
Switzerland,2020-07,2791
Switzerland,2020-08,7581
Switzerland,2020-09,9958
Switzerland,2020-10,101864
Switzerland,2020-11,163289
Switzerland,2020-12,142643
Switzerland,2021-01,62868
Switzerland,2021-02,32312
Switzerland,2021-03,39203
Switzerland,2021-04,66873
Switzerland,2021-05,30720
Switzerland,2021-06,9009
Switzerland,2021-07,15849
Switzerland,2021-08,75716
Switzerland,2021-09,51999
Switzerland,2021-10,9140
Turkey,2020-03,1236
Turkey,2020-04,108894
Turkey,2020-05,46697
Turkey,2020-06,40412
Turkey,2020-07,28861
Turkey,2020-08,271266
Turkey,2020-09,234327
Turkey,2020-10,298590
Turkey,2020-11,370146
Turkey,2020-12,841483
Turkey,2021-01,235551
Turkey,2021-02,224125
Turkey,2021-03,506585
Turkey,2021-04,1667215
Turkey,2021-05,367523
Turkey,2021-06,201875
Turkey,2021-07,282259
Turkey,2021-08,771009
Turkey,2021-09,712862
Turkey,2021-10,419247
Ukraine,2020-03,47
Ukraine,2020-04,8570
Ukraine,2020-05,12369
Ukraine,2020-06,21996
Ukraine,2020-07,21867
Ukraine,2020-08,54225
Ukraine,2020-09,79560
Ukraine,2020-10,196806
Ukraine,2020-11,327239
Ukraine,2020-12,351414
Ukraine,2021-01,149786
Ukraine,2021-02,128255
Ukraine,2021-03,300275
Ukraine,2021-04,433529
Ukraine,2021-05,116556
Ukraine,2021-06,35329
Ukraine,2021-07,15446
Ukraine,2021-08,45038
Ukraine,2021-09,161703
Ukraine,2021-10,184684
United Kingdom,2020-01,0
United Kingdom,2020-02,11
United Kingdom,2020-03,8923
United Kingdom,2020-04,145308
United Kingdom,2020-05,90366
United Kingdom,2020-06,38487
United Kingdom,2020-07,17156
United Kingdom,2020-08,34216
United Kingdom,2020-09,100502
United Kingdom,2020-10,599945
United Kingdom,2020-11,582413
United Kingdom,2020-12,1037452
United Kingdom,2021-01,1162397
United Kingdom,2021-02,359378
United Kingdom,2021-03,156488
United Kingdom,2021-04,87159
United Kingdom,2021-05,63855
United Kingdom,2021-06,446477
United Kingdom,2021-07,950134
United Kingdom,2021-08,1097459
United Kingdom,2021-09,922554
United Kingdom,2021-10,548485
