country,weekly_count,year_week,year_month
Armenia,2290,2020-21,2020-05
Armenia,2379,2020-22,2020-06
Armenia,3833,2020-23,2020-06
Armenia,3739,2020-24,2020-06
Armenia,3524,2020-25,2020-06
Armenia,4539,2020-26,2020-06
Armenia,3809,2020-27,2020-07
Armenia,3215,2020-28,2020-07
Armenia,2830,2020-29,2020-07
Armenia,2409,2020-30,2020-07
Armenia,1712,2020-31,2020-08
Armenia,1308,2020-32,2020-08
Armenia,1253,2020-33,2020-08
Armenia,1129,2020-34,2020-08
Armenia,958,2020-35,2020-08
Armenia,1033,2020-36,2020-09
Armenia,1079,2020-37,2020-09
Armenia,1569,2020-38,2020-09
Armenia,1969,2020-39,2020-09
Armenia,3096,2020-40,2020-10
Armenia,3955,2020-41,2020-10
Armenia,8243,2020-42,2020-10
Armenia,14116,2020-43,2020-10
Armenia,14638,2020-44,2020-10
Armenia,14018,2020-45,2020-11
Armenia,10420,2020-46,2020-11
Armenia,8823,2020-47,2020-11
Armenia,8415,2020-48,2020-11
Armenia,7220,2020-49,2020-12
Armenia,6338,2020-50,2020-12
Armenia,5383,2020-51,2020-12
Armenia,3883,2020-52,2020-12
Armenia,2272,2020-53,2020-12
Armenia,2068,2021-01,2021-01
Armenia,2388,2021-02,2021-01
Armenia,1418,2021-03,2021-01
Armenia,994,2021-04,2021-01
Armenia,1089,2021-05,2021-02
Armenia,1078,2021-06,2021-02
Armenia,1147,2021-07,2021-02
Armenia,1814,2021-08,2021-02
Armenia,2800,2021-09,2021-03
Armenia,3686,2021-10,2021-03
Armenia,5517,2021-11,2021-03
Armenia,6522,2021-12,2021-03
Armenia,6372,2021-13,2021-04
Armenia,6214,2021-14,2021-04
Armenia,5491,2021-15,2021-04
Armenia,4651,2021-16,2021-04
Armenia,3539,2021-17,2021-04
Armenia,2345,2021-18,2021-05
Armenia,1574,2021-19,2021-05
Armenia,1055,2021-20,2021-05
Armenia,688,2021-21,2021-05
Armenia,542,2021-22,2021-06
Armenia,511,2021-23,2021-06
Armenia,530,2021-24,2021-06
Armenia,598,2021-25,2021-06
Armenia,755,2021-26,2021-06
Armenia,853,2021-27,2021-07
Armenia,1063,2021-28,2021-07
Armenia,1388,2021-29,2021-07
Armenia,1566,2021-30,2021-07
Armenia,1821,2021-31,2021-08
Armenia,2517,2021-32,2021-08
Armenia,3071,2021-33,2021-08
Armenia,3726,2021-34,2021-08
Armenia,3653,2021-35,2021-08
Armenia,3882,2021-36,2021-09
Armenia,4796,2021-37,2021-09
Armenia,4603,2021-38,2021-09
