Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Simone Zaza,Centre-Forward,24,Sassuolo,Serie A,Italy,Juventus,Serie A,Italy,2015-2016,11000000,18000000
Sergej Milinkovic-Savic,Central Midfield,20,KRC Genk,Jupiler Pro League,Belgium,Lazio,Serie A,Italy,2015-2016,4000000,18000000
Oumar Niasse,Centre-Forward,25,Loko Moscow,Premier Liga,Russia,Everton,Premier League,England,2015-2016,10000000,17900000
Nathaniel Clyne,Right-Back,24,Southampton,Premier League,England,Liverpool,Premier League,England,2015-2016,17000000,17700000
Xherdan Shaqiri,Right Winger,23,Inter,Serie A,Italy,Stoke City,Premier League,England,2015-2016,17000000,17000000
José Salomón Rondón,Centre-Forward,25,Zenit S-Pb,Premier Liga,Russia,West Brom,Premier League,England,2015-2016,15000000,17000000
Aleix Vidal,Right Winger,25,Sevilla FC,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2015-2016,10000000,17000000
Filipe Luís,Left-Back,29,Chelsea,Premier League,England,Atlético Madrid,LaLiga,Spain,2015-2016,15000000,16000000
Toby Alderweireld,Centre-Back,26,Atlético Madrid,LaLiga,Spain,Spurs,Premier League,England,2015-2016,15000000,16000000
Moussa Sow,Centre-Forward,29,Fenerbahce,Süper Lig,Turkey,Al-Ahli (UAE),UAE Gulf League,UAE Gulf League,2015-2016,13000000,16000000
Jonjo Shelvey,Central Midfield,23,Swansea,Premier League,England,Newcastle,Premier League,England,2015-2016,12000000,16000000
Roberto Soldado,Centre-Forward,30,Spurs,Premier League,England,Villarreal CF,LaLiga,Spain,2015-2016,10000000,16000000
Andros Townsend,Right Winger,24,Spurs,Premier League,England,Newcastle,Premier League,England,2015-2016,8000000,15700000
Virgil van Dijk,Centre-Back,24,Celtic,Premiership,Premiership,Southampton,Premier League,England,2015-2016,5000000,15700000
Roberto Pereyra,Attacking Midfield,24,Udinese Calcio,Serie A,Italy,Juventus,Serie A,Italy,2015-2016,17000000,15000000
Xherdan Shaqiri,Right Winger,23,Bayern Munich,1.Bundesliga,German,Inter,Serie A,Italy,2015-2016,17000000,15000000
Asier Illarramendi,Defensive Midfield,25,Real Madrid,LaLiga,Spain,Real Sociedad,LaLiga,Spain,2015-2016,15000000,15000000
Dimitri Payet,Attacking Midfield,28,Marseille,Ligue 1,France,West Ham,Premier League,England,2015-2016,13000000,15000000
Mario Suárez,Defensive Midfield,28,Atlético Madrid,LaLiga,Spain,Fiorentina,Serie A,Italy,2015-2016,10000000,15000000
Jordy Clasie,Defensive Midfield,24,Feyenoord,Eredivisie,Netherlands,Southampton,Premier League,England,2015-2016,10000000,15000000
João Cancelo,Right-Back,21,Benfica,Liga NOS,Portugal,Valencia CF,LaLiga,Spain,2015-2016,5000000,15000000
Ivan Cavaleiro,Right Winger,21,Benfica,Liga NOS,Portugal,Monaco,Ligue 1,France,2015-2016,3500000,15000000
Clinton N'Jie,Centre-Forward,22,Olympique Lyon,Ligue 1,France,Spurs,Premier League,England,2015-2016,5000000,14100000
Petr Cech,Goalkeeper,33,Chelsea,Premier League,England,Arsenal,Premier League,England,2015-2016,12000000,14000000
Paulinho,Central Midfield,26,Spurs,Premier League,England,GZ Evergrande,Super League,Super League,2015-2016,9000000,14000000
Adama Traoré,Central Midfield,20,LOSC Lille,Ligue 1,France,Monaco,Ligue 1,France,2015-2016,1250000,14000000
Yohan Cabaye,Central Midfield,29,Paris SG,Ligue 1,France,Crystal Palace,Premier League,England,2015-2016,16000000,13900000
Benik Afobe,Centre-Forward,22,Wolves,Championship,Championship,Bournemouth,Premier League,England,2015-2016,7000000,13300000
Sergi Darder,Central Midfield,21,Málaga CF,LaLiga,Spain,Olympique Lyon,Ligue 1,France,2015-2016,7500000,13100000
Hernanes,Attacking Midfield,30,Inter,Serie A,Italy,Juventus,Serie A,Italy,2015-2016,14000000,13000000
Demba Ba,Centre-Forward,30,Besiktas,Süper Lig,Turkey,SH Shenhua,Super League,Super League,2015-2016,12000000,13000000
Fredy Guarín,Central Midfield,29,Inter,Serie A,Italy,SH Shenhua,Super League,Super League,2015-2016,10500000,13000000
Charles Aránguiz,Central Midfield,26,Internacional,Serie A,Italy,Bay. Leverkusen,1.Bundesliga,Germany,2015-2016,9500000,13000000
Ramiro Funes Mori,Centre-Back,24,River Plate,Primera División,Spain,Everton,Premier League,England,2015-2016,6000000,12900000
Mohamed Elneny,Defensive Midfield,23,FC Basel,Super League,Super League,Arsenal,Premier League,England,2015-2016,4000000,12500000
Andre Gray,Centre-Forward,24,Brentford,Championship,Championship,Burnley,Championship,Championship,2015-2016,1000000,12400000
Max Kruse,Second Striker,27,Bor. M'gladbach,1.Bundesliga,German,VfL Wolfsburg,1.Bundesliga,Germany,2015-2016,12000000,12000000
Luis Muriel,Centre-Forward,24,Udinese Calcio,Serie A,Italy,Sampdoria,Serie A,Italy,2015-2016,10000000,12000000
Chicharito,Centre-Forward,27,Man Utd,Premier League,England,Bay. Leverkusen,1.Bundesliga,Germany,2015-2016,10000000,12000000
Chancel Mbemba,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Belgium,Newcastle,Premier League,England,2015-2016,8000000,12000000
Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue 1,France,Aston Villa,Premier League,England,2015-2016,6000000,12000000
Rony Lopes,Right Winger,19,Man City,Premier League,England,Monaco,Ligue 1,France,2015-2016,4500000,12000000
Jordan Rhodes,Centre-Forward,26,Blackburn,Championship,Championship,Middlesbrough,Championship,Championship,2015-2016,10000000,11900000
Wahbi Khazri,Attacking Midfield,24,G. Bordeaux,Ligue 1,France,Sunderland,Premier League,England,2015-2016,7500000,11800000
Allan,Central Midfield,24,Udinese Calcio,Serie A,Italy,SSC Napoli,Serie A,Italy,2015-2016,11500000,11500000
Fabian Delph,Central Midfield,25,Aston Villa,Premier League,England,Man City,Premier League,England,2015-2016,10000000,11500000
Jeremain Lens,Right Winger,27,Dynamo Kyiv,Premier Liga,Russia,Sunderland,Premier League,England,2015-2016,12000000,11400000
Tyrone Mings,Centre-Back,22,Ipswich,Championship,Championship,Bournemouth,Premier League,England,2015-2016,6000000,11300000
James Chester,Centre-Back,26,Hull City,Championship,Championship,West Brom,Premier League,England,2015-2016,2000000,11300000
Gonzalo Castro,Central Midfield,28,Bay. Leverkusen,1.Bundesliga,German,Bor. Dortmund,1.Bundesliga,Germany,2015-2016,14000000,11000000
Asmir Begovic,Goalkeeper,28,Stoke City,Premier League,England,Chelsea,Premier League,England,2015-2016,12000000,11000000
Ciro Immobile,Centre-Forward,25,Bor. Dortmund,1.Bundesliga,German,Sevilla FC,LaLiga,Spain,2015-2016,10000000,11000000
