Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Alan,Centre-Forward,25,RB Salzburg,Bundesliga,Germany,GZ Evergrande,Super League,Super League,2014-2015,4000000,11100000
Adrián López,Second Striker,26,Atlético Madrid,LaLiga,Spain,FC Porto,Liga NOS,Portugal,2014-2015,8000000,11000000
Graziano Pellè,Centre-Forward,29,Feyenoord,Eredivisie,Netherlands,Southampton,Premier League,England,2014-2015,6500000,11000000
Steven Caulker,Centre-Back,22,Cardiff,Championship,Championship,QPR,Premier League,England,2014-2015,7500000,10750000
Raúl Jiménez,Centre-Forward,23,América,Liga MX Clausura,Mexico,Atlético Madrid,LaLiga,Spain,2014-2015,10000000,10500000
Gylfi Sigurdsson,Attacking Midfield,24,Spurs,Premier League,England,Swansea,Premier League,England,2014-2015,8000000,10100000
Leonardo Ulloa,Centre-Forward,28,Brighton,Championship,Championship,Leicester,Premier League,England,2014-2015,2000000,10100000
Matthias Ginter,Centre-Back,20,SC Freiburg,1.Bundesliga,German,Bor. Dortmund,1.Bundesliga,Germany,2014-2015,12000000,10000000
Rémy Cabella,Attacking Midfield,24,Montpellier,Ligue 1,France,Newcastle,Premier League,England,2014-2015,10000000,10000000
Keylor Navas,Goalkeeper,27,Levante UD,LaLiga,Spain,Real Madrid,LaLiga,Spain,2014-2015,10000000,10000000
