Country Name,2018,2017,2016,2015,2014
Equatorial Guinea,"$10,006","$9,668","$9,250","$11,283","$19,394"
China,"$9,977","$8,879","$8,148","$8,067","$7,679"
Kazakhstan,"$9,813","$9,248","$7,715","$10,511","$12,807"
Mexico,"$9,687","$9,288","$8,745","$9,617","$10,929"
Turkey,"$9,453","$10,590","$10,895","$11,006","$12,158"
Bulgaria,"$9,428","$8,334","$7,549","$7,056","$7,877"
Brazil,"$9,151","$9,929","$8,710","$8,814","$12,113"
Montenegro,"$8,850","$7,803","$7,034","$6,517","$7,388"
Cuba,"$8,824","$8,541","$8,061","$7,694","$7,133"
Botswana,"$8,280","$7,893","$7,244","$6,800","$7,781"
Dominican Republic,"$8,051","$7,609","$7,281","$6,922","$6,609"
Lebanon,"$8,013","$7,793","$7,626","$7,645","$7,688"
Gabon,"$7,957","$7,230","$6,984","$7,385","$9,663"
Libya,"$7,877","$5,757","$4,035","$4,338","$6,467"
Dominica,"$7,694","$7,275","$8,081","$7,597","$7,317"
St. Vincent And The Grenadines,"$7,361","$7,213","$7,075","$6,922","$6,684"
Thailand,"$7,297","$6,594","$5,993","$5,840","$5,952"
Serbia,"$7,252","$6,293","$5,765","$5,589","$6,600"
Turkmenistan,"$6,967","$6,587","$6,388","$6,433","$7,962"
Peru,"$6,958","$6,711","$6,205","$6,229","$6,673"
Suriname,"$6,938","$6,296","$5,873","$9,168","$9,472"
Colombia,"$6,730","$6,377","$5,871","$6,176","$8,114"
South Africa,"$6,373","$6,131","$5,273","$5,735","$6,433"
Belarus,"$6,330","$5,762","$5,023","$5,949","$8,319"
Fiji,"$6,317","$6,101","$5,651","$5,391","$5,606"
Ecuador,"$6,296","$6,214","$6,060","$6,124","$6,377"
Guyana,"$6,146","$6,125","$5,811","$5,577","$5,407"
North Macedonia,"$6,087","$5,432","$5,133","$4,843","$5,468"
Bosnia,"$6,072","$5,395","$4,995","$4,727","$5,330"
Paraguay,"$5,783","$5,679","$5,325","$5,414","$6,118"
Namibia,"$5,588","$5,367","$4,547","$4,897","$5,470"
Iraq,"$5,523","$5,077","$4,551","$4,688","$6,638"
Jamaica,"$5,360","$5,070","$4,844","$4,908","$4,834"
Albania,"$5,284","$4,531","$4,124","$3,953","$4,579"
Belize,"$5,001","$4,946","$4,857","$4,770","$4,718"
Tonga,"$4,741","$4,513","$4,158","$4,336","$4,354"
Azerbaijan,"$4,740","$4,147","$3,881","$5,500","$7,891"
Georgia,"$4,723","$4,357","$4,062","$4,014","$4,739"
Guatemala,"$4,478","$4,454","$4,173","$3,995","$3,780"
Kosovo,"$4,420","$4,046","$3,780","$3,603","$4,080"
Jordan,"$4,308","$4,232","$4,175","$4,164","$4,131"
Moldova,"$4,230","$3,510","$2,880","$2,732","$3,329"
Armenia,"$4,221","$3,915","$3,592","$3,607","$3,986"
Samoa,"$4,189","$4,260","$4,109","$4,074","$3,938"
Algeria,"$4,154","$4,110","$3,946","$4,178","$5,493"
Mongolia,"$4,135","$3,669","$3,660","$3,919","$4,159"
Eswatini,"$4,106","$3,914","$3,426","$3,680","$4,039"
Sri Lanka,"$4,059","$4,077","$3,886","$3,844","$3,819"
El Salvador,"$4,053","$3,910","$3,806","$3,706","$3,589"
Indonesia,"$3,894","$3,838","$3,563","$3,332","$3,492"
Marshall Islands,"$3,794","$3,673","$3,491","$3,200","$3,185"
Tuvalu,"$3,702","$3,574","$3,254","$3,198","$3,398"
Cabo Verde,"$3,617","$3,293","$3,131","$3,043","$3,589"
Iran,"$3,598","$5,520","$5,253","$4,904","$5,586"
Micronesia,"$3,568","$3,290","$3,015","$2,907","$2,972"
West Bank And Gaza,"$3,562","$3,620","$3,528","$3,272","$3,352"
Bolivia,"$3,549","$3,351","$3,077","$3,036","$3,082"
Tunisia,"$3,439","$3,481","$3,698","$3,862","$4,305"
Angola,"$3,290","$4,096","$3,506","$4,167","$5,408"
Philippines,"$3,252","$3,123","$3,074","$3,001","$2,960"
Bhutan,"$3,243","$3,287","$2,931","$2,753","$2,652"
Morocco,"$3,227","$3,035","$2,897","$2,875","$3,172"
Djibouti,"$3,142","$2,914","$2,802","$2,659","$2,464"
Vanuatu,"$3,125","$3,082","$2,806","$2,696","$2,927"
Ukraine,"$3,097","$2,641","$2,188","$2,125","$3,105"
Papua New Guinea,"$2,801","$2,695","$2,510","$2,679","$2,921"
"Congo, Rep.","$2,601","$2,174","$2,039","$2,448","$3,776"
Vietnam,"$2,566","$2,366","$2,192","$2,085","$2,030"
Lao PDR,"$2,542","$2,424","$2,309","$2,135","$1,998"
Egypt,"$2,537","$2,444","$3,520","$3,563","$3,380"
Honduras,"$2,510","$2,454","$2,343","$2,302","$2,206"
Solomon Islands,"$2,412","$2,333","$2,225","$2,167","$2,275"
Ghana,"$2,194","$2,021","$1,913","$1,706","$1,900"
Nigeria,"$2,028","$1,969","$2,176","$2,687","$3,099"
Nicaragua,"$2,015","$2,159","$2,108","$2,050","$1,934"
India,"$1,997","$1,981","$1,733","$1,606","$1,574"
Sao Tome And Principe,"$1,954","$1,814","$1,700","$1,585","$1,770"
Kenya,"$1,708","$1,572","$1,411","$1,337","$1,316"
Kiribati,"$1,698","$1,641","$1,585","$1,543","$1,643"
Bangladesh,"$1,698","$1,564","$1,402","$1,248","$1,119"
Mauritania,"$1,601","$1,578","$1,537","$1,524","$1,677"
Cameroon,"$1,534","$1,425","$1,364","$1,328","$1,543"
Uzbekistan,"$1,529","$1,827","$2,568","$2,615","$2,492"
Zambia,"$1,516","$1,535","$1,281","$1,338","$1,762"
Cambodia,"$1,512","$1,385","$1,270","$1,163","$1,093"
Pakistan,"$1,482","$1,465","$1,368","$1,357","$1,251"
Senegal,"$1,458","$1,362","$1,270","$1,219","$1,397"
Haiti,"$1,435","$1,294","$1,266","$1,389","$1,402"
Comoros,"$1,416","$1,324","$1,273","$1,243","$1,514"
Zimbabwe,"$1,352","$1,336","$1,465","$1,445","$1,435"
Kyrgyz Republic,"$1,308","$1,243","$1,121","$1,121","$1,280"
Myanmar,"$1,279","$1,258","$1,158","$1,144","$1,141"
Benin,"$1,241","$1,137","$1,087","$1,077","$1,291"
Timor-Leste,"$1,230","$1,286","$1,354","$1,333","$1,232"
Lesotho,"$1,192","$1,103","$1,019","$1,146","$1,195"
Nepal,"$1,179","$1,048",$900,$902,$845
Tanzania,"$1,043","$1,005",$967,$948,"$1,030"
Guinea,$955,$856,$732,$769,$787
Togo,$902,$831,$803,$571,$641
Mali,$895,$830,$781,$751,$848
Tajikistan,$853,$849,$807,$978,"$1,104"
Sudan,$826,"$1,103","$1,325","$1,657","$1,625"
Yemen,$824,$961,"$1,139","$1,602","$1,674"
Burkina Faso,$813,$735,$688,$653,$793
Guinea-Bissau,$803,$739,$661,$603,$623
Rwanda,$784,$772,$745,$751,$744
Ethiopia,$772,$769,$717,$641,$567
Uganda,$770,$747,$733,$844,$880
Gambia,$733,$680,$691,$661,$607
Chad,$726,$666,$693,$776,"$1,020"
Liberia,$677,$699,$715,$710,$721
Niger,$572,$518,$498,$484,$565
"Congo, Dem. Rep.",$557,$467,$471,$497,$487
Malawi,$535,$497,$316,$381,$371
Sierra Leone,$534,$499,$501,$588,$715
Madagascar,$518,$515,$476,$467,$531
Mozambique,$503,$461,$429,$590,$674
Afghanistan,$494,$520,$509,$578,$614
Central African Republic,$476,$451,$402,$377,$424
Somalia,$315,$309,$296,$293,$295
Burundi,$272,$293,$282,$306,$275
South Sudan,$0,$0,$0,"$1,120","$1,323"
Venezuela,$0,$0,$0,$0,"$16,056"
