Country Name,2018,2017,2016,2015,2014
Guatemala,"1,63,46,950","1,60,87,418","1,58,27,690","1,55,67,419","1,53,06,316"
Cambodia,"1,62,49,795","1,60,09,413","1,57,66,290","1,55,21,435","1,52,74,506"
Senegal,"1,58,54,324","1,54,19,354","1,49,93,514","1,45,78,450","1,41,74,740"
Chad,"1,54,77,727","1,50,16,761","1,45,61,658","1,41,10,971","1,36,63,562"
Somalia,"1,50,08,225","1,45,89,165","1,41,85,635","1,37,97,204","1,34,23,571"
Zimbabwe,"1,44,38,812","1,42,36,599","1,40,30,338","1,38,14,642","1,35,86,710"
Guinea,"1,24,14,292","1,20,67,516","1,17,38,434","1,14,32,096","1,11,50,970"
Rwanda,"1,23,01,969","1,19,80,960","1,16,68,829","1,13,69,066","1,10,83,629"
Tunisia,"1,15,65,203","1,14,33,438","1,13,03,942","1,11,79,951","1,10,63,195"
Benin,"1,14,85,035","1,11,75,192","1,08,72,072","1,05,75,962","1,02,86,839"
Belgium,"1,14,27,054","1,13,75,158","1,13,31,422","1,12,74,196","1,12,09,057"
Bolivia,"1,13,53,140","1,11,92,853","1,10,31,822","1,08,69,732","1,07,06,517"
Cuba,"1,13,38,146","1,13,39,255","1,13,35,108","1,13,24,777","1,13,06,909"
Burundi,"1,11,75,379","1,08,27,010","1,04,88,002","1,01,60,034","98,44,301"
Haiti,"1,11,23,183","1,09,82,367","1,08,39,976","1,06,95,540","1,05,49,007"
South Sudan,"1,09,75,924","1,09,10,774","1,08,32,520","1,07,15,657","1,05,54,882"
Greece,"1,07,32,882","1,07,54,679","1,07,75,971","1,08,20,883","1,08,92,413"
Czech Republic,"1,06,29,928","1,05,94,438","1,05,66,332","1,05,46,059","1,05,25,347"
Dominican Republic,"1,06,27,147","1,05,13,111","1,03,97,738","1,02,81,675","1,01,65,182"
Portugal,"1,02,83,822","1,03,00,300","1,03,25,452","1,03,58,076","1,04,01,062"
Sweden,"1,01,75,214","1,00,57,698","99,23,085","97,99,186","96,96,110"
Jordan,"99,65,322","97,85,840","95,54,286","92,66,573","89,18,822"
Azerbaijan,"99,39,771","98,54,033","97,57,812","96,49,341","95,35,079"
Hungary,"97,75,564","97,87,966","98,14,023","98,43,028","98,66,468"
UAE,"96,30,966","94,87,206","93,60,975","92,62,896","92,14,182"
Honduras,"95,87,523","94,29,016","92,70,794","91,12,904","89,55,579"
Belarus,"94,83,499","94,98,264","95,01,534","94,89,616","94,74,511"
Tajikistan,"91,00,847","88,80,270","86,63,575","84,54,019","82,52,828"
Israel,"88,82,800","87,13,300","85,46,000","83,80,100","82,15,700"
Austria,"88,40,521","87,97,566","87,36,668","86,42,699","85,46,356"
Papua New Guinea,"86,06,324","84,38,038","82,71,766","81,07,772","79,46,733"
Switzerland,"85,14,329","84,51,840","83,73,338","82,82,396","81,88,649"
Togo,"78,89,095","76,98,476","75,09,952","73,23,162","71,37,997"
Sierra Leone,"76,50,149","74,88,427","73,28,846","71,71,909","70,17,153"
Hong Kong,"74,51,000","73,91,700","73,36,600","72,91,300","72,29,500"
Lao PDR,"70,61,498","69,53,031","68,45,848","67,41,160","66,39,763"
Bulgaria,"70,25,037","70,75,947","71,27,822","71,77,991","72,23,938"
Serbia,"69,82,604","70,20,858","70,58,322","70,95,383","71,30,576"
Paraguay,"69,56,069","68,67,058","67,77,878","66,88,746","65,99,524"
Lebanon,"68,59,408","68,19,373","67,14,281","65,32,681","62,61,046"
Libya,"66,78,565","65,80,723","64,92,160","64,18,315","63,62,039"
Nicaragua,"64,65,502","63,84,843","63,03,970","62,23,234","61,42,734"
El Salvador,"64,20,740","63,88,124","63,56,137","63,25,121","62,95,124"
Kyrgyz Republic,"63,22,800","61,98,200","60,79,500","59,56,900","58,35,500"
Turkmenistan,"58,50,902","57,57,667","56,62,371","55,65,283","54,66,324"
Denmark,"57,93,636","57,64,980","57,28,010","56,83,483","56,43,475"
Singapore,"56,38,676","56,12,253","56,07,283","55,35,002","54,69,724"
Finland,"55,15,525","55,08,214","54,95,303","54,79,531","54,61,512"
Slovak Republic,"54,46,771","54,39,232","54,30,798","54,23,801","54,18,649"
Norway,"53,11,916","52,76,968","52,34,519","51,88,607","51,37,232"
"Congo, Rep.","52,44,363","51,10,701","49,80,996","48,56,093","47,36,965"
Costa Rica,"49,99,443","49,49,955","48,99,336","48,47,805","47,95,390"
New Zealand,"49,00,600","48,13,600","47,14,100","46,09,400","45,16,500"
Ireland,"48,67,316","48,07,388","47,55,335","47,01,957","46,57,740"
Oman,"48,29,476","46,65,926","44,79,217","42,67,341","40,27,255"
Liberia,"48,18,976","47,02,224","45,86,788","44,72,229","43,59,508"
Central African Republic,"46,66,375","45,96,023","45,37,683","44,93,171","44,64,171"
West Bank And Gaza,"45,69,087","44,54,805","43,67,088","42,70,092","41,73,398"
Mauritania,"44,03,312","42,82,582","41,63,532","40,46,304","39,30,894"
Panama,"41,76,868","41,06,764","40,37,073","39,68,490","39,01,311"
Kuwait,"41,37,314","40,56,102","39,56,862","38,35,588","36,90,939"
Croatia,"40,87,843","41,24,531","41,74,349","42,03,604","42,38,389"
Georgia,"37,26,549","37,28,004","37,27,505","37,25,276","37,19,414"
Uruguay,"34,49,290","34,36,645","34,24,139","34,12,013","34,00,439"
Bosnia,"33,23,929","33,51,534","33,86,263","34,29,362","34,82,106"
Puerto Rico,"31,93,354","33,25,286","34,06,672","34,73,232","35,34,874"
Mongolia,"31,70,214","31,13,788","30,56,358","29,98,433","29,40,111"
Armenia,"29,51,741","29,44,789","29,36,147","29,25,559","29,12,403"
Jamaica,"29,34,853","29,20,848","29,06,242","28,91,024","28,75,137"
Albania,"28,66,376","28,73,457","28,76,101","28,80,703","28,89,104"
Lithuania,"28,01,543","28,28,403","28,68,231","29,04,910","29,32,367"
Qatar,"27,81,682","27,24,727","26,54,379","25,65,708","24,59,202"
Moldova,"27,08,214","27,55,158","28,02,170","28,34,530","28,56,950"
Namibia,"24,48,300","24,02,623","23,58,044","23,14,901","22,73,426"
Gambia,"22,80,092","22,13,900","21,49,134","20,85,860","20,24,037"
Botswana,"22,54,067","22,05,076","21,59,925","21,20,716","20,88,619"
Gabon,"21,19,275","20,64,812","20,07,882","19,47,690","18,83,801"
Lesotho,"21,08,327","20,91,532","20,75,041","20,59,011","20,43,448"
North Macedonia,"20,82,957","20,81,996","20,80,746","20,79,335","20,77,780"
Slovenia,"20,73,894","20,66,388","20,65,042","20,63,531","20,61,980"
Latvia,"19,27,174","19,42,248","19,59,537","19,77,527","19,93,782"
Guinea-Bissau,"18,74,304","18,28,146","17,82,434","17,37,207","16,92,433"
Kosovo,"17,97,085","17,91,003","17,77,557","17,88,196","18,12,771"
Bahrain,"15,69,440","14,94,077","14,25,793","13,71,853","13,36,073"
Trinidad And Tobago,"13,89,841","13,84,060","13,77,563","13,70,332","13,62,337"
Estonia,"13,21,977","13,17,384","13,15,790","13,15,407","13,14,545"
Equatorial Guinea,"13,08,966","12,62,008","12,15,181","11,68,575","11,22,273"
Timor-Leste,"12,67,975","12,43,260","12,19,289","11,96,294","11,74,333"
Mauritius,"12,65,303","12,64,613","12,63,473","12,62,605","12,60,934"
Cyprus,"11,89,262","11,79,685","11,70,189","11,60,987","11,52,297"
Eswatini,"11,36,274","11,24,808","11,13,994","11,04,038","10,95,022"
Djibouti,"9,58,923","9,44,100","9,29,117","9,13,998","8,98,707"
Fiji,"8,83,490","8,77,460","8,72,406","8,68,632","8,66,447"
Comoros,"8,32,322","8,13,890","7,95,597","7,77,435","7,59,390"
Guyana,"7,79,007","7,75,218","7,71,363","7,67,433","7,63,371"
Bhutan,"7,54,396","7,45,563","7,36,706","7,27,885","7,19,053"
Solomon Islands,"6,52,856","6,36,030","6,19,438","6,03,133","5,87,079"
Macao,"6,31,633","6,22,578","6,12,824","6,02,093","5,90,210"
Montenegro,"6,22,227","6,22,373","6,22,303","6,22,159","6,21,810"
Luxembourg,"6,07,950","5,96,336","5,82,014","5,69,604","5,56,319"
Suriname,"5,75,987","5,70,501","5,64,883","5,59,136","5,53,278"
Cabo Verde,"5,43,764","5,37,499","5,31,140","5,24,740","5,18,276"
Maldives,"5,15,704","4,96,398","4,75,505","4,54,914","4,35,018"
Malta,"4,84,630","4,67,999","4,55,356","4,45,053","4,34,558"
Brunei,"4,28,960","4,24,481","4,19,791","4,14,914","4,09,778"
Bahamas,"3,85,635","3,81,749","3,77,923","3,74,200","3,70,625"
Belize,"3,83,071","3,75,775","3,68,399","3,60,926","3,53,366"
Iceland,"3,52,721","3,43,400","3,35,439","3,30,815","3,27,386"
Vanuatu,"2,92,675","2,85,499","2,78,326","2,71,128","2,63,888"
Barbados,"2,86,640","2,86,229","2,85,798","2,85,327","2,84,825"
French Polynesia,"2,77,673","2,76,108","2,74,576","2,73,119","2,71,713"
New Caledonia,"2,70,650","2,70,000","2,69,350","2,68,700","2,68,050"
Sao Tome And Principe,"2,11,032","2,07,086","2,03,221","1,99,439","1,95,727"
Samoa,"1,96,128","1,95,358","1,94,540","1,93,510","1,92,220"
St. Lucia,"1,81,890","1,80,955","1,80,028","1,79,131","1,78,307"
Channel Islands,"1,70,496","1,68,666","1,66,922","1,65,387","1,64,107"
Guam,"1,65,770","1,64,281","1,62,948","1,61,851","1,61,007"
Curacao,"1,59,336","1,60,175","1,59,664","1,57,980","1,55,909"
Kiribati,"1,15,842","1,14,153","1,12,529","1,10,927","1,09,387"
Micronesia,"1,12,640","1,11,461","1,10,215","1,08,886","1,07,444"
Grenada,"1,11,449","1,10,874","1,10,263","1,09,603","1,08,900"
St. Vincent And The Grenadines,"1,10,210","1,09,826","1,09,467","1,09,135","1,08,868"
Virgin Islands (U.S.),"1,07,001","1,07,281","1,07,516","1,07,712","1,07,882"
Aruba,"1,05,846","1,05,361","1,04,865","1,04,339","1,03,776"
Tonga,"1,03,199","1,02,002","1,01,143","1,00,780","1,01,023"
Seychelles,"96,762","95,843","94,677","93,419","91,359"
Antigua And Barbuda,"96,282","95,425","94,520","93,571","92,562"
Isle Of Man,"84,073","83,610","83,296","83,232","83,488"
Andorra,"77,008","76,997","77,295","77,993","79,213"
Dominica,"71,626","71,460","71,307","71,175","71,091"
Cayman Islands,"64,172","63,382","62,564","61,721","60,848"
Bermuda,"63,919","63,873","64,554","65,237","65,138"
Marshall Islands,"58,412","58,053","57,723","57,444","57,183"
Northern Mariana Islands,"56,889","56,553","56,187","55,779","55,301"
Greenland,"56,023","56,172","56,186","56,114","56,295"
American Samoa,"55,461","55,617","55,739","55,806","55,791"
St. Kitts And Nevis,"52,438","52,036","51,629","51,204","50,776"
Faroe Islands,"48,497","48,326","48,173","48,055","47,965"
Sint Maarten (Dutch Part),"40,654","40,574","39,969","38,825","37,685"
Monaco,"38,682","38,392","38,070","37,723","37,320"
Liechtenstein,"37,918","37,805","37,655","37,465","37,219"
Turks And Caicos Islands,"37,667","37,116","36,558","35,979","35,371"
St. Martin (French Part),"37,264","36,569","36,061","35,865","36,018"
San Marino,"33,784","33,671","33,503","33,270","32,941"
Gibraltar,"33,715","33,723","33,738","33,742","33,726"
British Virgin Islands,"29,795","29,567","29,355","29,148","28,985"
Palau,"17,911","17,809","17,718","17,665","17,625"
Tuvalu,"11,505","11,365","11,232","11,099","10,973"
Nauru,"10,678","10,577","10,474","10,374","10,289"
