date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,winner_loc
2019-06-08,Greece,Italy,0,3,UEFA Euro qualification,Athens,Greece,False,Italy,Away
2019-06-09,Portugal,Netherlands,1,0,UEFA Nations League,Porto,Portugal,False,Portugal,Home
2019-06-10,Malta,Romania,0,4,UEFA Euro qualification,Attard,Malta,False,Romania,Away
2019-06-10,Spain,Sweden,3,0,UEFA Euro qualification,Madrid,Spain,False,Spain,Home
2019-06-10,Latvia,Slovenia,0,5,UEFA Euro qualification,Riga,Latvia,False,Slovenia,Away
2019-06-11,Germany,Estonia,8,0,UEFA Euro qualification,Mainz,Germany,False,Germany,Home
2019-09-05,Romania,Spain,1,2,UEFA Euro qualification,Bucharest,Romania,False,Spain,Away
2019-09-05,Finland,Greece,1,0,UEFA Euro qualification,Tampere,Finland,False,Finland,Home
2019-09-06,Germany,Netherlands,2,4,UEFA Euro qualification,Hamburg,Germany,False,Netherlands,Away
2019-09-06,Slovakia,Croatia,0,4,UEFA Euro qualification,Trnava,Slovakia,False,Croatia,Away
2019-09-06,Austria,Latvia,6,0,UEFA Euro qualification,Salzburg,Austria,False,Austria,Home
2019-09-06,Slovenia,Poland,2,0,UEFA Euro qualification,Ljubljana,Slovenia,False,Slovenia,Home
2019-09-08,Romania,Malta,1,0,UEFA Euro qualification,Ploiești,Romania,False,Romania,Home
2019-09-08,Finland,Italy,1,2,UEFA Euro qualification,Tampere,Finland,False,Italy,Away
2019-09-09,Estonia,Netherlands,0,4,UEFA Euro qualification,Tallinn,Estonia,False,Netherlands,Away
2019-09-09,Hungary,Slovakia,1,2,UEFA Euro qualification,Budapest,Hungary,False,Slovakia,Away
2019-09-09,Poland,Austria,0,0,UEFA Euro qualification,Warsaw,Poland,False,Tie,Tie
2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,Vilnius,Lithuania,False,Portugal,Away
2019-10-10,Croatia,Hungary,3,0,UEFA Euro qualification,Split,Croatia,False,Croatia,Home
2019-10-10,Latvia,Poland,0,3,UEFA Euro qualification,Riga,Latvia,False,Poland,Away
2019-10-11,Portugal,Luxembourg,3,0,UEFA Euro qualification,Lisbon,Portugal,False,Portugal,Home
2019-10-12,Malta,Sweden,0,4,UEFA Euro qualification,Attard,Malta,False,Sweden,Away
2019-10-12,Italy,Greece,2,0,UEFA Euro qualification,Rome,Italy,False,Italy,Home
2019-10-13,Estonia,Germany,0,3,UEFA Euro qualification,Tallinn,Estonia,False,Germany,Away
