Country Name,2018,2017,2016,2015,2014
Morocco,"$113,258,047,749","$104,149,048,313","$102,887,384,595","$106,341,535,371","$106,120,314,976"
Ecuador,"$104,127,263,313","$98,409,174,201","$95,799,108,263","$96,835,408,268","$97,454,861,960"
Slovak Republic,"$99,822,002,398","$90,383,867,115","$91,261,500,432","$95,914,563,091","$99,288,991,322"
Angola,"$98,895,545,962","$102,809,282,435","$108,710,652,624","$125,915,232,845","$134,935,090,330"
Sri Lanka,"$87,452,256,685","$83,012,085,547","$80,682,231,247","$78,752,855,988","$75,601,403,889"
Ethiopia,"$86,862,198,769","$78,378,593,590","$68,942,747,989","$60,070,079,523","$53,613,560,417"
Dominican Republic,"$82,662,037,364","$74,568,930,202","$71,379,557,039","$67,656,035,528","$64,373,664,413"
Kenya,"$82,388,772,046","$71,394,919,719","$66,244,414,314","$61,710,627,444","$57,832,847,293"
Guatemala,"$71,906,454,947","$65,898,070,614","$61,234,006,747","$57,670,223,800","$54,279,237,147"
Myanmar,"$68,828,945,150","$63,837,946,078","$61,257,383,167","$60,877,507,502","$59,260,978,926"
Oman,"$68,135,014,156","$65,193,960,445","$70,539,507,564","$74,458,670,930","$76,568,106,351"
Puerto Rico,"$67,329,825,317","$66,496,604,274","$67,145,380,097","$67,441,254,457","$68,166,124,320"
Uzbekistan,"$66,549,930,000","$76,191,069,640","$84,492,276,396","$81,442,291,187","$75,923,516,313"
Ghana,"$63,230,721,513","$54,533,034,700","$51,062,729,782","$54,167,612,780","$53,228,551,100"
Panama,"$60,498,579,703","$56,460,139,541","$51,576,375,909","$48,416,666,226","$43,640,316,982"
Bulgaria,"$60,122,091,896","$54,026,656,937","$52,930,202,522","$53,478,773,821","$55,922,026,618"
Costa Rica,"$59,649,938,805","$56,908,615,253","$54,371,620,102","$51,883,343,331","$49,614,497,225"
Uruguay,"$59,579,752,309","$54,706,274,246","$52,872,675,097","$53,308,826,213","$53,697,737,872"
Croatia,"$57,537,516,766","$52,282,190,940","$51,694,889,446","$54,510,226,956","$56,200,508,763"
Tanzania,"$56,349,762,629","$51,458,345,717","$50,067,603,079","$48,965,141,489","$47,226,664,294"
Belarus,"$54,079,877,293","$50,330,116,517","$53,407,723,144","$63,692,079,404","$71,939,575,908"
Lebanon,"$52,892,230,645","$50,913,474,038","$48,489,663,190","$47,550,775,519","$47,289,272,832"
Slovenia,"$51,029,606,603","$45,751,510,235","$44,991,600,710","$45,948,067,561","$48,698,546,435"
Lithuania,"$48,925,589,721","$43,229,722,069","$24,526,587,761","$17,305,563,260","$13,650,969,980"
