Country Name,2018,2017,2016,2015,2014
Morocco,"$118,096,227,400","$109,682,728,023","$103,311,649,248","$101,179,808,076","$110,081,248,587"
Ecuador,"$107,562,008,000","$104,295,862,000","$99,937,696,000","$99,290,381,000","$101,726,331,000"
Slovak Republic,"$105,526,182,494","$95,445,220,585","$89,716,156,543","$88,503,140,512","$101,324,487,791"
Angola,"$101,353,230,785","$122,123,822,334","$101,123,851,090","$116,193,649,124","$145,712,200,313"
Puerto Rico,"$100,925,000,000","$103,445,500,000","$104,336,700,000","$103,375,500,000","$102,445,800,000"
Cuba,"$100,050,000,000","$96,851,000,000","$91,370,000,000","$87,133,000,000","$80,656,000,000"
Sri Lanka,"$87,954,272,082","$87,421,762,729","$82,401,038,710","$80,604,080,689","$79,356,449,841"
Kenya,"$87,778,582,964","$78,965,004,656","$69,188,755,364","$64,007,750,169","$61,448,046,802"
Dominican Republic,"$85,555,378,043","$79,997,975,622","$75,704,720,190","$71,164,825,257","$67,179,914,027"
Ethiopia,"$84,269,348,327","$81,770,791,971","$74,296,618,481","$64,589,334,979","$55,612,228,234"
Oman,"$79,788,768,969","$70,585,606,844","$65,441,278,668","$68,420,257,567","$80,686,929,102"
Guatemala,"$73,208,583,759","$71,654,134,379","$66,053,725,049","$62,186,186,576","$57,852,399,964"
Luxembourg,"$70,919,958,016","$64,181,944,723","$60,732,711,001","$57,767,685,137","$66,191,895,299"
Myanmar,"$68,697,759,361","$67,144,725,831","$61,449,392,056","$60,291,736,894","$59,640,204,522"
Bulgaria,"$66,230,155,100","$58,971,520,599","$53,806,894,796","$50,647,442,757","$56,901,994,980"
Ghana,"$65,315,955,123","$58,845,211,998","$54,499,451,834","$47,498,906,692","$51,717,482,624"
Panama,"$64,928,300,000","$62,202,700,000","$57,907,700,000","$54,091,800,000","$49,921,400,000"
Uruguay,"$64,515,038,268","$64,233,966,861","$57,236,652,490","$53,274,304,222","$57,236,013,086"
Costa Rica,"$62,335,931,464","$60,516,043,590","$58,847,016,045","$56,441,917,653","$52,016,408,951"
Croatia,"$61,375,222,347","$55,481,644,098","$51,601,147,666","$49,525,747,504","$57,639,588,806"
Belarus,"$60,031,262,269","$54,726,595,249","$47,722,657,821","$56,454,734,397","$78,813,839,984"
Tanzania,"$57,003,713,748","$53,320,625,959","$49,774,021,003","$47,378,599,025","$49,964,788,814"
Macao,"$55,302,446,578","$50,456,765,512","$45,085,114,633","$45,060,237,946","$54,903,031,138"
Lebanon,"$54,961,275,742","$53,140,638,269","$51,205,122,504","$49,939,374,833","$48,134,486,625"
