DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2011,3.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2012,2.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2013,1.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2014,2.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2015,1.9,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2016,2.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2017,2.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2018,2.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2019,3.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CY,2020,3.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2011,25.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2012,22.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2013,25.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2014,29.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2015,27.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2016,31.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2017,33.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2018,34.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2019,35.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,CZ,2020,29.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2011,173.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2012,204.3,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2013,218.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2014,218.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2015,224.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2016,243.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2017,253.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2018,254.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2019,262.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DE,2020,233.8,bp
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2011,25.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2012,25.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2013,23.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2014,27.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2015,28.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2016,28.5,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2017,26.3,b
